Vorname;Nachname;Verein;Geburtsdatum;Gewicht;Gürtelgrad;Geschlecht;Disziplin
Max;Mustermann;Dojo Berlin;15.03.2005;65;6. Kyu;M;kumite
Anna;Schmidt;Dojo Muenchen;22.07.2006;52;4. Kyu;W;kumite
Leon;Weber;Dojo Hamburg;10.11.2010;38;8. Kyu;M;kumite
Mia;Fischer;Dojo Koeln;03.05.2011;35;9. Kyu;W;kumite
Tom;Braun;Dojo Berlin;28.01.1995;78;1. Kyu;M;kumite
Lisa;Mueller;Dojo Hamburg;14.09.1998;58;3. Kyu;W;kumite
Jan;Hoffmann;Dojo Muenchen;07.06.1990;85;1. Dan;M;kumite
Sara;Koch;Dojo Koeln;19.12.1992;62;2. Kyu;W;kumite
Erik;Schneider;Dojo Frankfurt;12.08.2000;68;5. Kyu;M;kumite
Lukas;Becker;Dojo Berlin;05.04.1998;63;3. Kyu;M;kumite
Finn;Wagner;Dojo Hamburg;20.11.2002;66;7. Kyu;M;kumite
Niklas;Meyer;Dojo Muenchen;18.02.1996;75;2. Kyu;M;kumite
Paul;Klein;Dojo Koeln;30.06.1993;79;1. Kyu;M;kumite
David;Wolf;Dojo Frankfurt;14.09.2001;73;4. Kyu;M;kumite
Marcel;Richter;Dojo Hamburg;22.03.1994;92;1. Dan;M;kumite
Sven;Schulz;Dojo Berlin;08.07.1997;88;2. Kyu;M;kumite
Kai;Neumann;Dojo Muenchen;11.12.1991;95;1. Dan;M;kumite
Hannah;Keller;Dojo Frankfurt;25.01.2001;55;5. Kyu;W;kumite
Julia;Lang;Dojo Koeln;09.05.1999;57;4. Kyu;W;kumite
Sophie;Schwarz;Dojo Hamburg;17.08.1996;65;3. Kyu;W;kumite
Lena;Berger;Dojo Berlin;03.11.1994;68;2. Kyu;W;kumite
Nina;Hartmann;Dojo Muenchen;21.04.2000;63;4. Kyu;W;kumite
Ben;Krause;Dojo Berlin;16.06.2011;42;8. Kyu;M;kumite
Noah;Fuchs;Dojo Hamburg;29.09.2011;40;9. Kyu;M;kumite
Tim;Peters;Dojo Koeln;04.01.2011;36;9. Kyu;M;kumite
Lea;Vogel;Dojo Frankfurt;12.03.2011;37;8. Kyu;W;kumite
Emma;Roth;Dojo Berlin;08.07.2011;34;9. Kyu;W;kumite
Nele;Schuster;Dojo Muenchen;25.11.2011;36;9. Kyu;W;kumite
